unique_id,dest_new_acc_balance,dest_old_acc_balance,latitude,longitude,orig_new_acc_balance,orig_old_acc_balance,sar_fraud,total_hrs_from_first_trans,transacted_amount,transaction_type
0a03cebe-988f-4ad5-b4cc-9407bbb6dcd1,5473739.5,9012.3896484375,42.308650970458984,-83.48216247558594,0.0,5464727.0,0,372.0,5464727.0,3
5ff888a8-9396-46ff-a57d-707bed8f808d,2739869.5,0.0,42.42509841918945,-71.066162109375,0.0,2739869.5,0,472.0,2739869.5,3
b807a515-d6c0-4512-8b1d-2f2740ab19b1,0.0,0.0,40.82231903076172,-74.15986633300781,0.0,60274.87109375,0,438.0,60274.87109375,4
83f322ef-bb5b-4ec2-aaff-20eb3f811447,0.0,0.0,39.72943115234375,-104.83191680908203,0.0,1390048.625,0,715.0,1390048.625,4
ae2267de-26cf-4e83-9d0e-c61cf232869f,813133.375,0.0,34.25627899169922,-78.04470825195312,0.0,813133.375,0,66.0,813133.375,3
9f00630f-1ce4-4f25-b624-e75af1064644,0.0,0.0,39.57582092285156,-105.11221313476562,0.0,5494863.0,0,266.0,5494863.0,4
17dfa725-8567-4d14-851c-e6e6a15dae89,151105.96875,0.0,38.96371841430664,-76.99080657958984,0.0,151105.96875,0,553.0,151105.96875,3
2350ed19-1dc5-4425-b633-4a50a03ab7b3,0.0,0.0,41.8436393737793,-87.7125473022461,0.0,605108.375,0,493.0,605108.375,4
abed5058-9ed7-4b7b-8737-6e0d0754cb2d,6691823.0,662435.6875,42.58341979980469,-71.80229949951172,0.0,6029387.5,0,231.0,6029387.5,3
f978836a-5da6-42dd-83e3-d1212cc2ef90,0.0,4020.0,40.931209564208984,-73.89875030517578,0.0,452804.40625,0,177.0,452804.40625,3
4140065a-83e0-43cc-b47f-b90e1459f826,0.0,0.0,44.27804183959961,-88.27204895019531,0.0,148680.125,0,530.0,148680.125,4
227067f2-3028-4103-8a37-34e5a05c79f8,0.0,0.0,41.16704177856445,-73.20482635498047,0.0,120074.7265625,1,5.0,120074.7265625,4
083678a7-25e3-476f-ac6f-71d8024ad809,127528.921875,0.0,40.56753921508789,-89.64066314697266,0.0,127528.921875,0,341.0,127528.921875,3
6f6b3478-498c-491a-babc-1da0c752e701,628697.25,0.0,32.91559982299805,-117.1439208984375,0.0,628697.25,0,580.0,628697.25,3
181b2726-a19b-4724-892d-33865124ad0f,1810168.125,1006726.8125,46.32373809814453,-120.00865173339844,0.0,803441.3125,0,663.0,803441.3125,3
78e78b3e-c545-472e-ab78-5b83be90d6e5,63943.98046875,62895.3515625,41.00510025024414,-73.78457641601562,0.0,1048.6300048828125,0,476.0,1048.6300048828125,3
24cb11f6-7ac1-4328-b32d-538a12caee4f,374276.75,52392.859375,26.217300415039062,-80.22588348388672,0.0,321883.875,0,127.0,321883.875,3
addc3c6d-1f81-40f0-bf9a-a15bfc838b8a,388093.5,19141.5703125,44.739410400390625,-93.12577056884766,0.0,368951.9375,0,682.0,368951.9375,3
9c16c9c5-e1b3-4df1-8a89-9c41a9fd950e,0.0,0.0,33.45122146606445,-86.99665832519531,0.0,143275.8125,0,560.0,143275.8125,4
764213df-fe6a-49b4-a52a-e09db8012494,0.0,0.0,42.97085952758789,-82.42491149902344,0.0,5912204.0,0,514.0,5912204.0,4
ab4ab280-f051-40c2-bd5b-7a6bd8e54c17,9579840.0,2097169.5,37.73603820800781,-120.93549346923828,0.0,7482670.0,0,200.0,7482670.0,3
083eab47-1962-4ded-bf1a-5001e82f8f56,0.0,0.0,42.1680793762207,-88.42813873291016,0.0,211628.75,0,222.0,211628.75,4
fa182369-7962-4966-a655-db3206f3d86e,0.0,0.0,28.549440383911133,-81.7728500366211,1975271.75,11975272.0,0,386.0,10000000.0,4
696a0574-4515-4b87-9c82-88a9c8c60456,715954.0,700860.25,39.08367156982422,-84.50855255126953,0.0,15093.6904296875,0,569.0,15093.6904296875,3
e4cd04d4-3f4b-4fef-8f9e-de65e32354c4,5994967.5,4736010.5,39.006221771240234,-77.42859649658203,0.0,1258956.75,0,22.0,1258956.75,3
d54a0941-4268-4097-adf3-b03d86b9592d,0.0,0.0,34.14250946044922,-118.25508117675781,0.0,115461.4765625,0,87.0,115461.4765625,4
